MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8,AS8,Z,19.5,12,16.1,18,381,2,1
2019,CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8,M7,Z,18.2,12.5,15.6,18,368,2,1
2019,CHEVROLET,CRUZE,COMPACT,1.4,4,AS6,X,8.3,6.2,7.3,39,172,7,6
2019,CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4,AS6,X,8.3,6.2,7.3,39,172,7,6
2019,CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4,A9,D,7.6,4.9,6.4,44,172,7,3
2019,CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4,AS6,X,8.3,6.2,7.3,39,172,7,6
2019,CHEVROLET,CRUZE HATCHBACK PREMIER,MID-SIZE,1.4,4,AS6,X,8.5,6.4,7.5,38,175,7,6
2019,CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4,A9,D,7.8,5.2,6.6,43,178,7,3
2019,CHEVROLET,EQUINOX,SUV - SMALL,1.5,4,A6,X,9.2,7.3,8.3,34,196,6,5
2019,CHEVROLET,EQUINOX,SUV - SMALL,1.6,4,A6,D,8.5,6,7.4,38,199,6,3
2019,CHEVROLET,EQUINOX AWD,SUV - SMALL,1.5,4,A6,X,9.3,7.8,8.6,33,207,6,5
2019,CHEVROLET,EQUINOX AWD,SUV - SMALL,1.6,4,A6,D,8.5,6.1,7.4,38,199,6,3
2019,CHEVROLET,EQUINOX AWD,SUV - SMALL,2,4,A9,Z,10.9,8.3,9.7,29,228,5,5
2019,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.8,8,9.6,29,225,5,3
2019,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,254,4,5
2019,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.6,19,245,5,5
2019,CHEVROLET,MALIBU,MID-SIZE,1.5,4,AV,X,8.2,6.6,7.5,38,174,7,6
2019,CHEVROLET,MALIBU,MID-SIZE,2,4,A9,Z,10.5,7.4,9.1,31,214,5,5
2019,CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4,AV,X,4.8,5.5,5.1,55,121,10,5
2019,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,2.7,4,A8,X,11.9,10.3,11.1,25,261,4,6
2019,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.1,11.5,13.5,21,316,3,6
2019,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326,3,5
2019,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14,20,329,3,3
2019,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.1,15,18.4,15,306,3,3
